"date","btc_usd","buy_bitcoin","id","is_partial","period_interval","trend_ratio","update_timestamp"
"2019-02-14 00:00:00+00:00",23,10,27274,False,"1d",0.43478,"2019-03-06 00:01:53.111354+00:00"
"2019-02-15 00:00:00+00:00",26,11,27275,False,"1d",0.42308,"2019-03-06 00:01:53.114969+00:00"
"2019-02-16 00:00:00+00:00",25,12,27276,False,"1d",0.48000,"2019-03-06 00:01:53.118486+00:00"
"2019-02-17 00:00:00+00:00",27,11,27277,False,"1d",0.40741,"2019-03-06 00:01:53.121968+00:00"
"2019-02-18 00:00:00+00:00",38,17,27278,False,"1d",0.44737,"2019-03-06 00:01:53.125206+00:00"
"2019-02-19 00:00:00+00:00",53,16,27279,False,"1d",0.30189,"2019-03-06 00:01:53.128312+00:00"
"2019-02-20 00:00:00+00:00",39,15,27280,False,"1d",0.38462,"2019-03-06 00:01:53.132008+00:00"
"2019-02-21 00:00:00+00:00",34,14,27281,False,"1d",0.41176,"2019-03-06 00:01:53.135304+00:00"
"2019-02-22 00:00:00+00:00",37,10,27282,False,"1d",0.27027,"2019-03-06 00:01:53.138515+00:00"
"2019-02-23 00:00:00+00:00",37,14,27283,False,"1d",0.37838,"2019-03-06 00:01:53.141710+00:00"
"2019-02-24 00:00:00+00:00",47,14,27284,False,"1d",0.29787,"2019-03-06 00:01:53.144781+00:00"
"2019-02-25 00:00:00+00:00",40,11,27285,False,"1d",0.27500,"2019-03-06 00:01:53.147832+00:00"
"2019-02-26 00:00:00+00:00",35,12,27286,False,"1d",0.34286,"2019-03-06 00:01:53.150609+00:00"
"2019-02-27 00:00:00+00:00",36,12,27287,False,"1d",0.33333,"2019-03-06 00:01:53.154089+00:00"
"2019-02-28 00:00:00+00:00",28,11,27288,False,"1d",0.39286,"2019-03-06 00:01:53.157001+00:00"
"2019-03-01 00:00:00+00:00",28,14,27289,False,"1d",0.50000,"2019-03-06 00:01:53.160319+00:00"
"2019-03-02 00:00:00+00:00",24,14,27290,False,"1d",0.58333,"2019-03-06 00:01:53.163546+00:00"
"2019-03-03 00:00:00+00:00",30,11,27291,False,"1d",0.36667,"2019-03-06 00:01:53.166868+00:00"
"2018-03-10 00:00:00+00:00",85,22,27292,False,"1d",0.25882,"2019-03-06 00:01:54.068420+00:00"
"2018-03-11 00:00:00+00:00",78,26,27293,False,"1d",0.33333,"2019-03-06 00:01:54.072755+00:00"
"2018-03-12 00:00:00+00:00",76,25,27294,False,"1d",0.32895,"2019-03-06 00:01:54.076975+00:00"
"2018-03-13 00:00:00+00:00",76,28,27295,False,"1d",0.36842,"2019-03-06 00:01:54.080082+00:00"
"2018-03-14 00:00:00+00:00",83,25,27296,False,"1d",0.30120,"2019-03-06 00:01:54.083254+00:00"
"2018-03-15 00:00:00+00:00",100,29,27297,False,"1d",0.29000,"2019-03-06 00:01:54.085871+00:00"
"2018-03-16 00:00:00+00:00",75,23,27298,False,"1d",0.30667,"2019-03-06 00:01:54.088728+00:00"
"2018-03-17 00:00:00+00:00",77,21,27299,False,"1d",0.27273,"2019-03-06 00:01:54.091340+00:00"
